MMSI,time,lat,lon,vel,cou
413777428-0,0.0,20.147104,130.691984,24.922106,104.925808
413802169-0,1.0,20.983067,131.7744,3.035222,62.299999
413762068-0,1.0,20.093593,129.781961,13.020998,177.82427
413767529-0,1.0,20.053498,130.548507,3.292444,52.0
413809956-0,1.0,20.93102,131.576663,49.719657,23.10126
413999116-1,1.0,20.354455,131.038273,3.805513,38.868217
413828826-1,2.0,20.109243,130.647948,87.738165,86.364891
413820739-0,5.0,20.711175,131.188206,83.316849,54.366767
413843722-0,5.0,20.873287,131.479087,3.138111,23.6
413813299-0,6.0,20.252466,130.899289,43.509902,133.902063
413819458-0,6.0,20.244281,130.887982,23.265547,331.40358
413833806-0,6.0,19.973936,130.175225,64.415665,99.108534
413818348-2,8.0,20.128631,130.631763,93.731192,155.178293
413832701-0,8.0,20.031729,130.394526,61.926557,126.212756
413816585-1,9.0,20.203694,130.806614,20.778946,73.598503
413950335-0,10.0,20.966802,131.688206,118.51556,23.454288
413761094-0,10.0,20.066343,130.571098,35.665559,5.527086
413849722-0,11.0,20.106684,130.622316,9.506742,123.398377
413828202-0,11.0,20.110692,130.641644,73.535852,343.861216
413830206-0,11.0,20.475376,131.157997,6.667311,13.220909
413830492-0,12.0,20.234495,130.903492,32.01867,1.382985
413847388-0,12.0,19.995482,130.26382,1.491889,225.0
413971406-0,12.0,19.924983,130.424701,10.667282,308.557474
413820657-0,13.0,19.975127,130.152398,4.784333,110.300003
413777719-0,13.0,20.493703,131.158034,18.677046,303.739378
413998763-1,13.0,20.072668,130.581493,91.770303,77.782438
413788593-0,13.0,20.266731,130.908858,41.613475,51.785746
413806634-1,13.0,20.141015,130.68254,12.904874,61.889104
413768853-0,14.0,20.684685,131.137115,42.830309,230.261549
413793098-0,15.0,19.722535,130.348843,7.259304,354.82442
413836097-1,17.0,20.074618,130.55907,128.805155,182.510589
413777448-1,17.0,20.213131,130.840095,27.09205,129.046847
413966124-0,17.0,20.126517,129.701197,50.110521,141.306942
413834444-1,17.0,20.229966,130.87282,9.521156,122.463053
413819255-0,18.0,19.935153,130.41718,13.251494,215.591319
413995382-1,19.0,20.435582,131.115374,16.2271,187.80611
413980123-0,19.0,20.30982,130.969353,75.133307,206.621321
413812387-1,19.0,20.302668,130.98651,3.601111,60.900002
413975933-2,19.0,20.220721,130.861273,43.299674,80.471485
413825122-0,21.0,21.014196,131.848876,18.178064,185.186665
413981343-0,22.0,20.31495,130.999491,29.265442,165.452219
413769754-1,23.0,20.048288,130.521651,34.194902,225.694975
413773372-0,23.0,20.273912,130.920108,3.086667,53.700001
413984116-0,24.0,19.973232,130.191005,7.2538,226.083033
413819152-0,25.0,21.06957,131.961097,3.909778,37.700001
413828988-0,26.0,19.939146,130.425848,83.154556,347.127541
413829163-0,26.0,19.903672,130.398063,29.88213,186.944209
413843722-0,26.0,20.873857,131.479307,3.138111,24.700001
413819299-0,27.0,20.296073,130.96355,26.825221,95.103524
413844249-0,28.0,20.297995,130.933898,15.743688,272.250911
413834812-0,28.0,20.749995,131.345205,15.182183,323.673286
413780309-0,28.0,20.093641,130.602656,9.743446,40.661767
413834879-0,28.0,20.010307,130.473805,30.31478,122.06293
413829048-0,29.0,20.181252,130.804285,3.909778,355.899994
413863047-0,29.0,19.978607,130.226083,2.932333,244.800003
413995829-0,29.0,20.445827,131.135098,155.183482,201.170635
413832653-2,30.0,20.50262,131.159202,12.111646,157.877071
413767529-0,31.0,20.054055,130.549345,3.292444,52.700001
413828826-1,31.0,20.109988,130.660448,86.998391,12.961499
413802169-0,31.0,20.983457,131.775253,3.035222,62.5
413847601-0,31.0,20.222977,130.838034,13.13021,0.659542
413807647-1,33.0,20.218783,130.841103,21.631471,237.456366
413843862-1,33.0,20.170774,130.795682,27.013251,256.788942
413831252-0,34.0,21.024324,131.860693,37.85625,124.637015
413872003-0,34.0,20.245997,130.893387,15.331834,30.952008
413832701-0,34.0,20.027332,130.400918,56.97605,245.787092
413833806-0,36.0,19.972522,130.18461,38.511411,266.137409
413833582-0,37.0,20.787873,131.465182,99.088958,56.179808
413788593-0,37.0,20.269587,130.912725,16.130534,72.390092
413819458-0,38.0,20.247302,130.886226,71.711232,171.821925
413950335-0,38.0,20.980874,131.694745,60.354519,159.188528
413831222-0,38.0,20.074222,130.564095,41.131401,289.619225
413818348-2,39.0,20.11644,130.637768,24.529266,288.794398
413813299-0,39.0,20.247864,130.904386,37.656593,348.580596
413849722-0,41.0,20.105959,130.623488,9.960912,111.060163
413828202-0,41.0,20.120487,130.638625,33.569472,163.674102
413847388-0,42.0,19.995238,130.26349,1.440444,233.300003
413836097-1,42.0,20.059748,130.558376,106.167731,6.219479
413971255-0,43.0,20.071356,130.57245,26.390963,72.500502
413806634-1,43.0,20.141859,130.684221,24.427205,88.590202
413777719-0,43.0,20.495141,131.155735,12.318902,82.098372
413820739-0,43.0,20.719701,131.200924,40.850976,244.887684
413830492-0,43.0,20.239082,130.90361,90.230558,260.370514
413830207-0,44.0,20.153406,130.750851,14.508709,77.697601
413820657-0,44.0,19.974702,130.153842,4.732889,108.400002
413768853-0,44.0,20.680888,131.132234,33.290063,154.38141
413777428-0,45.0,20.145769,130.697319,9.872991,205.813834
413793098-0,45.0,19.723538,130.348746,11.272873,105.052447
413777448-1,47.0,20.210765,130.843204,23.402803,47.110658
413820143-0,47.0,20.229036,130.879053,6.902798,50.873753
413761094-0,47.0,20.072415,130.571723,27.988611,65.047383
413966124-0,47.0,20.121093,129.705823,10.761237,309.31334
413806026-0,47.0,20.264697,130.945778,55.070699,345.734225
413980123-0,49.0,20.300505,130.964376,31.445455,13.733656
413812387-1,49.0,20.303162,130.987487,3.601111,59.200001
413825975-1,51.0,20.515471,131.170649,32.541808,184.695555
413816764-1,52.0,20.292544,130.940967,10.350734,53.426029
413780288-1,53.0,20.134489,130.659021,23.631302,173.500458
413984116-0,54.0,19.972535,130.190234,71.659647,154.363414
413819152-0,55.0,21.07039,131.961817,3.909778,37.0
413995829-0,55.0,20.428435,131.12791,26.739648,193.252361
413856062-0,55.0,20.493661,131.160574,12.670412,9.099659
413844203-0,55.0,20.987011,131.782685,36.275592,172.173437
413828988-0,56.0,19.950387,130.423115,148.990565,163.272405
413835021-1,56.0,20.360294,131.058696,26.58264,269.325277
413950341-0,57.0,20.056401,130.543614,1.58814,259.922467
413819299-0,57.0,20.295742,130.967501,6.315153,57.380882
413844249-0,58.0,20.29808,130.931572,11.698469,0.792028
413813587-0,58.0,20.024231,130.055012,11.542604,78.416827
413832862-0,58.0,20.011354,130.462775,34.949428,99.104926
413998763-1,58.0,20.076706,130.601357,23.970419,278.426334
413834812-0,58.0,20.751691,131.343871,75.437519,92.354369
413762068-0,60.0,20.090045,129.782104,36.825879,31.335455
413809956-0,61.0,20.943703,131.582457,60.807743,211.850928
413863047-0,61.0,19.978258,130.225182,2.932333,246.800003
